scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Forpus coelestis,Forpus_coelestis,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,277000,1,0,0,1,0,1,0,0,1,0,3
Forpus conspicillatus,Forpus_conspicillatus,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,822000,1,0,0,1,0,1,0,0,1,0,3
Forpus cyanopygius,Forpus_cyanopygius,Not a Migrant,Near Threatened,Decreasing,1,1,0,0,0,0,0,0,0,177000,1,0,0,1,0,1,0,0,0,0,5
Forpus modestus,Forpus_modestus,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,6430000,1,0,0,0,0,1,0,0,0,0,3
Forpus passerinus,Forpus_passerinus,Not a Migrant,Least Concern,Decreasing,0,1,1,0,0,0,0,0,0,2810000,1,0,0,1,0,1,1,1,0,0,3
Forpus spengeli,Forpus_xanthopterygius,Not a Migrant,Least Concern,Decreasing,0,1,1,0,0,0,0,0,0,29200,1,0,0,1,0,1,0,1,1,0,3
Forpus xanthops,Forpus_xanthops,Not a Migrant,Vulnerable,Stable,1,0,0,0,0,0,0,0,0,4800,1,0,0,0,0,1,0,0,1,0,3
Forpus xanthopterygius,Forpus_xanthopterygius,Altitudinal Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,10400000,1,0,0,1,0,1,0,1,1,0,3
Foudia aldabrana,Foudia_eminentissima,Not a Migrant,Endangered,Increasing,0,0,0,0,1,1,0,0,0,390,0,1,0,0,0,1,0,0,1,0,3
Foudia consobrina,Foudia_eminentissima,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,1,1,0,0,0,1300,0,1,0,0,0,1,0,0,0,0,3
Foudia eminentissima,Foudia_eminentissima,Not a Migrant,Least Concern,Decreasing,0,0,0,0,1,1,0,0,0,8800,0,1,0,1,0,1,0,0,1,0,3
Foudia madagascariensis,Foudia_madagascariensis,Not a Migrant,Least Concern,Stable,0,0,0,0,1,1,0,0,0,689000,0,1,0,1,0,1,0,1,1,0,3
Foudia omissa,Foudia_omissa,Not a Migrant,Least Concern,Decreasing,0,0,0,0,1,1,0,0,0,410000,0,1,0,0,0,1,0,0,0,0,3
Francolinus francolinus,Francolinus_francolinus,Not a Migrant,Least Concern,Stable,0,0,0,0,1,1,1,1,0,11100000,0,1,1,1,0,0,1,0,1,0,5
Francolinus gularis,Francolinus_gularis,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,1,1,0,375000,0,0,1,1,0,0,1,0,0,1,3
Francolinus pictus,Francolinus_pictus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,2380000,0,0,1,1,0,0,1,0,1,1,3
Francolinus pintadeanus,Francolinus_pintadeanus,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,1,1,0,3910000,0,0,1,1,0,1,1,0,1,0,5
Francolinus pondicerianus,Francolinus_pondicerianus,Not a Migrant,Least Concern,Stable,0,0,0,0,0,1,1,1,0,6180000,0,0,1,1,0,0,1,1,1,0,5
Fraseria caerulescens,Muscicapa_caerulescens,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,15900000,0,1,0,1,0,1,0,1,1,0,3
Fraseria cinerascens,Fraseria_cinerascens,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,6330000,0,1,0,0,0,1,0,0,0,1,3
Fraseria griseigularis,Myioparus_griseigularis,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,5560000,0,1,0,1,0,1,0,0,0,0,3
Fraseria lendu,Muscicapa_lendu,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,1,1,0,0,0,319000,0,1,0,0,0,1,0,0,0,0,3
Fraseria ocreata,Fraseria_ocreata,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,5570000,0,1,0,0,0,1,0,0,0,0,3
Fraseria olivascens,Muscicapa_olivascens,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,4210000,0,1,0,0,0,1,0,0,0,0,3
Fraseria plumbea,Myioparus_plumbeus,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,16600000,0,1,0,1,0,1,0,1,0,0,3
Fraseria tessmanni,Muscicapa_tessmanni,Not a Migrant,Least Concern,Unknown,0,0,0,1,1,1,0,0,0,3250000,0,1,0,1,0,1,0,0,1,1,3
Frederickena unduliger,Frederickena_unduligera,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,2470000,1,0,0,0,0,1,0,0,0,0,3
Frederickena viridis,Frederickena_viridis,Not a Migrant,Least Concern,Decreasing,0,1,1,0,0,0,0,0,0,1520000,1,0,0,0,0,1,0,0,0,0,3
Fringilla coelebs,Fringilla_coelebs,Full Migrant,Least Concern,Increasing,0,0,0,1,1,1,1,1,1,27900000,0,1,1,1,0,1,0,0,1,0,2
Fringilla montifringilla,Fringilla_montifringilla,Full Migrant,Least Concern,Decreasing,1,0,0,1,1,1,1,1,1,20900000,1,1,1,1,0,1,0,0,1,0,2
Fringilla polatzeki,Fringilla_teydea,Not a Migrant,Endangered,Increasing,0,0,0,1,0,0,0,0,0,Unknown,0,1,0,0,0,1,0,0,0,0,1
Fringilla teydea,Fringilla_teydea,Not a Migrant,Near Threatened,Increasing,0,0,0,1,0,0,0,0,0,760,0,1,0,0,0,1,0,0,0,0,1
Fulica americana,Fulica_americana,Full Migrant,Least Concern,Decreasing,1,1,1,0,0,1,0,1,1,25500000,1,0,1,0,0,0,0,0,0,1,5
Fulica ardesiaca,Fulica_ardesiaca,Full Migrant,Least Concern,Unknown,1,1,0,0,0,0,0,0,1,2020000,1,0,0,0,0,0,0,0,0,1,3
Fulica armillata,Fulica_armillata,Full Migrant,Least Concern,Unknown,1,1,1,0,0,0,0,0,1,5880000,1,0,0,0,0,0,0,0,0,1,3
