animal,decline,migratory,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere,EOO
Agelasticus_cyanopus,0,1,1,0,0,0,0,0,0,0,0,1,2,8160000
Agelasticus_thilius,0,1,1,0,0,1,0,0,0,0,0,1,2,5720000
Agelasticus_xanthophthalmus,0,0,1,0,0,0,0,0,0,0,0,1,2,564000
Aglaeactis_aliciae,1,0,1,0,0,0,0,0,0,0,1,0,2,800
Aglaeactis_castelnaudii,1,0,1,0,0,0,0,1,0,0,0,0,2,94300
Aglaeactis_cupripennis,0,0,1,0,0,0,0,1,0,0,1,0,2,1540000
Aglaeactis_pamela,0,0,1,0,0,0,0,1,0,0,1,0,2,16800
Aglaiocercus_berlepschi,1,0,1,0,0,0,0,1,0,0,1,0,2,4200
Aglaiocercus_coelestis,0,0,1,0,0,0,0,1,0,0,1,0,2,73000
Aglaiocercus_kingi,1,0,1,0,0,0,0,1,1,0,1,0,2,3700000
Carpodacus_rubescens,0,0,0,0,1,0,0,1,0,0,0,0,3,1720000
Bradornis_infuscatus,0,0,0,1,0,0,0,0,0,1,1,0,2,2520000
Bradornis_pallidus,0,0,0,1,0,1,0,0,0,1,1,0,2,20900000
Agriornis_albicauda,1,0,1,0,0,1,0,0,1,0,1,0,2,1980000
Agriornis_lividus,0,1,1,0,0,1,0,0,0,0,1,0,2,1170000
Agriornis_micropterus,0,1,1,0,0,1,0,0,1,0,1,0,2,2570000
Agriornis_montanus,0,1,1,0,0,1,0,0,1,0,1,0,2,5560000
Agriornis_murinus,0,1,1,0,0,1,0,0,1,0,1,0,2,1050000
Ailuroedus_buccoides,1,0,0,0,1,0,0,1,0,0,0,0,2,1030000
Ailuroedus_crassirostris,1,0,0,0,1,1,0,1,0,1,0,0,2,334000
Ailuroedus_melanotis,1,0,0,0,1,0,0,1,0,0,1,0,2,2140000
Aimophila_notosticta,1,0,1,0,0,0,0,1,0,0,1,0,2,44100
Aimophila_rufescens,0,0,1,0,0,0,0,1,1,0,1,0,3,2040000
Aimophila_ruficeps,1,0,1,0,0,0,0,1,1,0,1,0,3,4870000
Aix_galericulata,1,1,0,0,1,0,0,1,0,0,0,1,3,5710000
Aix_sponsa,0,1,1,0,0,0,0,1,0,0,0,1,3,15500000
Myrmeciza_goeldii,0,0,1,0,0,0,0,1,0,0,1,0,2,344000
Myrmeciza_melanoceps,0,0,1,0,0,0,0,1,0,0,0,0,2,1360000
Alaemon_alaudipes,1,0,0,1,1,0,0,0,1,0,1,0,3,21600000
Alaemon_hamertoni,0,0,0,1,0,0,0,0,1,0,0,0,2,460000
Alauda_arvensis,1,1,1,1,1,1,1,0,1,0,1,1,3,1.00E+08
Alauda_gulgula,1,1,0,1,1,1,0,0,1,0,1,1,3,2.40E+07
Melanocorypha_leucoptera,1,1,0,1,1,1,0,0,1,0,0,0,1,3960000
Calandrella_raytal,0,0,0,0,1,0,0,0,0,0,0,1,3,4760000
Calandrella_rufescens,1,1,0,1,1,0,0,0,1,0,1,0,3,28500000
Calandrella_somalica,1,0,0,1,0,0,0,0,1,0,0,0,2,958000
Alcedo_coerulescens,0,0,0,0,1,1,0,1,0,0,0,1,2,646000
Alcedo_euryzona,1,0,0,0,1,0,0,1,0,0,0,1,2,173000
Alcedo_hercules,1,0,0,0,1,0,0,1,0,0,0,1,2,2460000
Alcedo_meninting,1,0,0,0,1,1,0,1,0,0,0,1,3,14400000
Alcedo_euryzona,1,0,0,0,1,0,0,1,0,0,0,1,2,173000
Alcedo_quadribrachys,0,0,0,1,0,1,1,1,0,1,0,1,2,8120000
Alcedo_semitorquata,1,0,0,1,0,0,1,1,0,0,0,1,2,10500000
Alcippe_brunneicauda,1,0,0,0,1,1,0,1,0,0,0,1,2,2800000
Alcippe_nipalensis,1,0,0,0,1,0,0,1,0,0,1,0,3,1110000
Alcippe_peracensis,1,0,0,0,1,0,0,1,0,0,0,0,2,621000
Alcippe_poioicephala,1,0,0,0,1,0,0,1,0,0,1,0,3,6590000
Alcippe_pyrrhoptera,1,0,0,0,1,0,0,1,0,0,0,0,2,34700
Pycnonotus_striatus,0,0,0,0,1,0,0,1,0,0,0,0,3,1830000
Aleadryas_rufinucha,0,0,0,0,1,1,0,1,0,0,0,0,2,697000
Alectoris_barbara,1,0,0,1,0,1,0,1,0,0,1,0,1,4930000
Alectoris_chukar,0,0,0,1,1,0,0,0,1,0,1,0,3,20600000
Alectoris_graeca,1,0,0,1,0,0,0,1,0,0,1,0,1,1410000
Alectoris_magna,1,0,0,0,1,0,0,0,1,0,0,0,1,676000
Alectoris_melanocephala,0,0,0,1,1,1,0,1,1,0,1,0,3,1940000
Alectoris_philbyi,0,0,0,1,0,1,0,0,1,0,0,0,3,104000
Alectoris_rufa,1,0,0,1,0,1,0,0,1,0,1,0,1,1710000
Alectroenas_madagascariensis,1,1,0,1,0,1,0,1,0,0,0,0,2,522000
Alectroenas_sganzini,1,0,0,1,0,0,0,1,0,0,0,0,2,69600
Alectrurus_risora,1,1,1,0,0,0,0,0,1,1,1,1,2,132000
Alectrurus_tricolor,1,1,1,0,0,0,0,0,1,1,0,0,2,2790000
Alectura_lathami,1,0,0,0,1,0,0,1,0,1,1,0,2,1860000
Alethe_diademata,1,0,0,1,0,0,0,1,0,0,0,0,2,4080000
Alethe_diademata,1,0,0,1,0,0,0,1,0,0,0,0,2,4080000
Alipiopsitta_xanthops,1,0,1,0,0,0,0,1,0,1,0,0,2,2700000
Alisterus_amboinensis,1,0,0,0,1,1,0,1,0,0,0,0,2,624000
Alisterus_chloropterus,0,0,0,0,1,0,0,1,0,0,0,0,2,655000
Alisterus_scapularis,1,0,0,0,1,1,0,1,0,1,1,0,2,1830000
Gallicolumba_beccarii,0,0,0,0,1,0,0,1,0,0,0,0,2,680000
Gallicolumba_canifrons,1,0,0,0,1,0,0,1,0,0,0,0,2,1700
Gallicolumba_hoedtii,1,0,0,0,1,0,0,1,0,0,0,0,2,55300
Gallicolumba_jobiensis,0,0,0,0,1,1,0,1,0,0,0,0,2,1930000
Gallicolumba_beccarii,0,0,0,0,1,0,0,1,0,0,0,0,2,680000
Gallicolumba_sanctaecrucis,1,0,0,0,1,1,0,1,0,0,0,0,2,17200
Gallicolumba_xanthonura,1,0,0,0,1,1,0,1,0,0,1,0,2,355000
Alophoixus_bres,1,0,0,0,1,1,0,1,0,0,0,0,2,147000
Alophoixus_flaveolus,0,0,0,0,1,1,0,1,0,0,1,0,3,1500000
Alophoixus_bres,0,0,0,0,1,1,0,1,0,0,0,0,2,147000
Alophoixus_pallidus,0,0,0,0,1,0,0,1,0,0,0,0,2,13600
Alophoixus_ochraceus,0,0,0,0,1,0,0,1,0,0,0,0,2,1810000
Alophoixus_pallidus,0,0,0,0,1,0,0,1,0,0,0,0,3,13600
