"","scientificName","orderName","familyName","genusName","Movement","redlistCategory","populationTrend","decline","threatend","habitatNotes","breedArtif","breedCoast","breedDesert","breedForest","breedGrass","breedInter","breedNerit","breedRock","breedSavan","breedShrub","breedUbiqu","breedUnkno","breedWetla","nonbArtif","nonbCoast","nonbDesert","nonbForest","nonbGrass","nonbInter","nonbNerit","nonbRock","nonbSavan","nonbShrub","nonbUbiqu","nonbUnkno","nonbWetla","HabNum","Pac_Americas","Cen_Americas","Atl_Americas","Eas_Atlantic","Black_Sea","Eas_Africa","Cen_Asia","Eas_Asia","Breed_Hemisphere","Nonbreed_Hemisphere","migratory"
"67","Acrocephalus paludicola","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Vulnerable","Decreasing",1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,3,1
"68","Acrocephalus palustris","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,1,1,1,1,0,1,2,1
"69","Acrocephalus percernis","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"70","Acrocephalus rehsei","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Vulnerable","Stable",0,1,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"71","Acrocephalus rimitarae","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Critically Endangered","Decreasing",1,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"72","Acrocephalus rodericanus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Near Threatened","Increasing",0,1,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"73","Acrocephalus rufescens","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,1,1,0,0,2,2,0
"74","Acrocephalus schoenobaenus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,1,1,1,1,1,3,1
"75","Acrocephalus scirpaceus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,1,1,1,1,3,3,1
"76","Acrocephalus sechellensis","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Near Threatened","Increasing",0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"77","Acrocephalus sorghophilus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Endangered","Decreasing",1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,NA,NA,1
"78","Acrocephalus stentoreus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,1,1,3,3,1
